employer,sector,city,job_id,title,pay_min,pay_max,pay_unit,remote_eligible,entry_level,cash_priority,apply_url,apply_email,apply_phone,apply_notes,employer_site,employer_email,employer_phone,employer_contact_notes
Brown & Brown Subsidiary Operations,Insurance & Financial Services,Daytona Beach,89,Administrative Temporary - Daytona,18,30,hr,1,1,2,https://us.bbrown.com/careers,talent@bbrown.com,386-255-6500,Brown & Brown subsidiary temp pool; same Daytona intake contact,https://www.bbinsurance.com,https://us.bbrown.com/careers,386-255-6500,Shared Daytona HQ contact for subsidiary temp/contract pools
World Class Distribution / Trader Joe's,Logistics & Distribution,Daytona Beach,83,Picker/Packer - Temp Pool,18,26,hr,0,1,2,https://www.ziprecruiter.com/jobs/world-class-distribution-daytona-beach-fl,https://www.ziprecruiter.com/jobs/world-class-distribution-daytona-beach-fl,https://www.ziprecruiter.com,Temp staffing agency via ZipRecruiter; verify payroll agency before start,https://www.ziprecruiter.com,careers@ziprecruiter.com,,
AdventHealth Systems,Healthcare & Life Sciences,DeLand,64,Registered Nurse - Med Surg,28,42,hr,1,0,1,https://jobs.adventhealth.com,https://jobs.adventhealth.com,407-303-1600,Nursing recruitment hub; BSN tuition program contact via same portal,https://www.adventhealth.com,https://www.adventhealth.com/careers,407-303-1600,Central FL careers line; DeLand/Daytona campuses use same system
Advanced Machining Inc,Manufacturing,DeLand,91,CNC Operator Temporary,20,32,hr,0,1,1,https://www.ziprecruiter.com/jobs/advanced-machining-inc,https://www.ziprecruiter.com/jobs/advanced-machining-inc,https://www.ziprecruiter.com,Local manufacturing temp employment agency,https://www.ziprecruiter.com,careers@advancedmachiningfl.com,,Temp employer contact via ZipRecruiter/American Staffing partners
Dougherty Manufacturing,Manufacturing,DeLand,90,General Labor - Machine Shop,18,28,hr,0,1,1,https://www.ziprecruiter.com/jobs/dougherty-manufacturing,https://www.ziprecruiter.com/jobs/dougherty-manufacturing,https://www.ziprecruiter.com,Local manufacturing temp employment agency,https://www.ziprecruiter.com,careers@doughertymfg.com,,Temp employer contact via ZipRecruiter/Staffing partners
Publix Super Markets,Retail,Port Orange,85,Online Order Sorter,18,24,hr,0,1,1,https://jobs.publix.com,talent@publixtalent.com,800-406-3444,Local Publix store GM or district HR; call store for same-day openings,https://jobs.publix.com,careers@publixtalent.com,800-406-3444,
Rooms To Go Regional Distribution,Retail,Daytona Beach,92,Warehouse Sort - Temp,17,23,hr,0,1,1,https://www.joinrooms2go.com/en/careers.html,https://www.joinrooms2go.com/en/careers.html,813-555-7000,Rooms To Go HR; temp hours through staffing vendors on-site,https://www.roomstogo.com,https://www.joinrooms2go.com/en/careers.html,813-555-7000,Corporate HR; temp shift inquiries often through local staffing partners
City of Daytona Beach,Government & Public Safety,Daytona Beach,74,Planning/GIS Analyst,30,46,hr,1,0,0,https://www.codajobs.com,https://www.codajobs.com,386-671-3000,City CODA portal; direct HR line for hiring cycle questions,codajobs.com,HR@codajobs.com,386-671-3000,City HR; NeoGov/CODA job board is official application portal
Embry-Riddle CATER / Research Parks,Aviation / Aerospace,Daytona Beach,75,Geospatial Analyst - Research,30,50,hr,1,0,0,https://careers.erau.edu/benefits,https://careers.erau.edu/benefits,386-226-6000,ERAU HR; research parks roles also circulate through Daytona state job boards,https://www.erau.edu,,,
Halifax Hospital System,Healthcare & Life Sciences,Daytona Beach,66,Registered Nurse ICU,30,45,hr,0,0,0,https://halifaxhealth.org/careers,careers@halifaxhealth.org,386-425-4111,Halifax Health nurse recruitment line,halifaxhealth.org/careers,careers@halifaxhealth.org,386-425-4111,Careers portal; education assistance HR contact on file
County of Volusia,Government & Public Safety,DeLand,70,GIS Specialist - Public Works,28,42,hr,1,0,0,https://www.volusia.org/jobs,volusiahr@volusia.org,386-236-2000,County HR general; specify GIS/public works in subject,https://www.volusia.org,https://www.volusia.org/jobs,386-236-2000,County HR general line; job-related tuition reimbursement 386-736-5951 ext 13492
Foundation Risk Partners,Insurance & Financial Services,Daytona Beach,79,Data Analyst - Claims,28,44,hr,1,0,0,https://www.linkedin.com/jobs/foundation-risk-partners-jobs,https://www.linkedin.com/jobs/foundation-risk-partners-jobs,https://www.foundationrp.com,Foundation Risk Partners LinkedIn/company site,foundationrp.com,info@foundationrp.com,,Apply via LinkedIn or company careers page
State of Florida,Government & Public Safety,DeLand,72,Geographic Data Analyst - District,28,44,hr,1,0,0,https://jobs.myflorida.com,Careers@dos.myflorida.com,850-487-1220,,https://www.myflorida.com,Careers@dos.myflorida.com,850-487-1220,State HR main line; FRS retirement administered through MyFloridaHR
Truist / SunTrust Volusia,Insurance & Financial Services,Daytona Beach,78,Credit Risk Analyst,28,48,hr,1,0,0,https://www.truist.com/careers,talent@truist.com,855-628-8468,Truist Talent Team; hybrid branch roles via careers portal,https://www.truist.com,https://www.truist.com/careers,855-628-8468,Candidate contact center; local branches manage hybrid role eligibility
Brown & Brown Insurance,Insurance & Financial Services,Daytona Beach,76,Risk Analyst - Coastal Exposure,27,45,hr,1,0,0,https://us.bbrown.com/careers,talent@bbrown.com,386-255-6500,Brown & Brown careers portal; Daytona HQ intake form,us.bbrown.com/careers,talent@bbrown.com,386-255-6500,Daytona Beach HQ main line; careers inbox via website
Amazon,Logistics & Distribution,Edgewater,69,GIS Technician - Environmental Review,26,38,hr,1,0,0,https://www.amazon.jobs/en/location/daytona-beach-fl,hiring@amazon.com,https://hiring.amazon.com,Amazon application portal; no public recruiter email,amazon.jobs,hiring@amazon.com,206-266-1000,Amazon corporate switchboard; Edgewater FC local HR via job portal
Brown & Brown Insurance,Insurance & Financial Services,Daytona Beach,77,Commercial Lines Customer Success,26,40,hr,1,0,0,https://us.bbrown.com/careers,talent@bbrown.com,386-255-6500,,us.bbrown.com/careers,talent@bbrown.com,386-255-6500,Daytona Beach HQ main line; careers inbox via website
Security First Insurance,Insurance & Financial Services,Daytona Beach,80,Underwriting Operations,24,38,hr,1,0,0,https://www.securityfirstflorida.com/careers,https://www.securityfirstflorida.com/careers,386-734-7200,Security First HR intake,https://www.securityfirstinsurance.com,https://www.securityfirstflorida.com/careers,386-734-7200,Ormond/Daytona operations contact line
County of Volusia,Government & Public Safety,DeLand,71,Engineering Inspector,24,36,hr,0,0,0,https://www.volusia.org,https://www.volusia.org/jobs,386-236-2000,,https://www.volusia.org,https://www.volusia.org/jobs,386-236-2000,County HR general line; job-related tuition reimbursement 386-736-5951 ext 13492
Halifax Hospital System,Healthcare & Life Sciences,Daytona Beach,67,Clinical Lab Scientist,24,34,hr,0,0,0,https://halifaxhealth.org/careers,careers@halifaxhealth.org,386-425-4111,Halifax laboratory services HR contact,halifaxhealth.org/careers,careers@halifaxhealth.org,386-425-4111,Careers portal; education assistance HR contact on file
